t(c)	x(m)
1.458	6.65
1.459	6.66
1.460	6.67
1.461	6.68
1.462	6.69
1.463	6.70
1.464	6.71
1.465	6.71
1.466	6.72
1.467	6.73
1.468	6.74
1.469	6.75
1.470	6.76
1.471	6.77
1.472	6.78
1.473	6.79
1.474	6.80
1.475	6.80
1.476	6.81
1.477	6.82
1.478	6.83
1.479	6.84
1.480	6.85
1.481	6.86
1.482	6.87
1.483	6.88
1.484	6.89
1.485	6.89
1.486	6.90
1.487	6.91
1.488	6.92
1.489	6.93
1.490	6.94
1.491	6.95
1.492	6.96
1.493	6.97
1.494	6.98
1.495	6.99
1.496	6.99
1.497	7.00
1.498	7.01
1.499	7.02
1.500	7.03
1.501	7.04
1.502	7.05
1.503	7.06
1.504	7.07
1.505	7.08
1.506	7.09
1.507	7.10
1.508	7.10
1.509	7.11
1.510	7.12
1.511	7.13
1.512	7.14
1.513	7.15
1.514	7.16
1.515	7.17
1.516	7.18
1.517	7.19
1.518	7.20
1.519	7.21
1.520	7.22
1.521	7.22
1.522	7.23
1.523	7.24
1.524	7.25
1.525	7.26
1.526	7.27
1.527	7.28
1.528	7.29
1.529	7.30
1.530	7.31
1.531	7.32
1.532	7.33
1.533	7.34
1.534	7.35
1.535	7.36
1.536	7.36
1.537	7.37
1.538	7.38
1.539	7.39
1.540	7.40
1.541	7.41
1.542	7.42
1.543	7.43
1.544	7.44
1.545	7.45
1.546	7.46
1.547	7.47
1.548	7.48
1.549	7.49
1.550	7.50
1.551	7.51
1.552	7.52
1.553	7.52
1.554	7.53
1.555	7.54
1.556	7.55
1.557	7.56
1.558	7.57
1.559	7.58
1.560	7.59
1.561	7.60
1.562	7.61
1.563	7.62
1.564	7.63
1.565	7.64
1.566	7.65
1.567	7.66
1.568	7.67
1.569	7.68
1.570	7.69
1.571	7.70
1.572	7.71
1.573	7.72
1.574	7.73
1.575	7.74
1.576	7.75
1.577	7.75
1.578	7.76
1.579	7.77
1.580	7.78
1.581	7.79
1.582	7.80
1.583	7.81
1.584	7.82
1.585	7.83
1.586	7.84
1.587	7.85
1.588	7.86
1.589	7.87
1.590	7.88
1.591	7.89
1.592	7.90
1.593	7.91
1.594	7.92
1.595	7.93
1.596	7.94
1.597	7.95
1.598	7.96
1.599	7.97
1.600	7.98
1.601	7.99
1.602	8.00
1.603	8.01
1.604	8.02
1.605	8.03
1.606	8.04
1.607	8.05
1.608	8.06
1.609	8.07
