t(c)	x(m)
11.290	508.34
11.300	509.31
11.310	510.28
11.320	511.25
11.330	512.23
11.340	513.20
11.350	514.17
11.360	515.15
11.370	516.13
11.380	517.10
11.390	518.08
11.400	519.06
11.410	520.04
11.420	521.02
11.430	522.00
11.440	522.99
11.450	523.97
11.460	524.95
11.470	525.94
11.480	526.93
11.490	527.91
11.500	528.90
11.510	529.89
11.520	530.88
11.530	531.87
11.540	532.87
11.550	533.86
11.560	534.85
11.570	535.85
11.580	536.84
11.590	537.84
11.600	538.84
11.610	539.84
11.620	540.84
11.630	541.84
11.640	542.84
11.650	543.84
11.660	544.85
11.670	545.85
11.680	546.86
11.690	547.87
11.700	548.87
11.710	549.88
11.720	550.89
11.730	551.90
11.740	552.91
11.750	553.93
11.760	554.94
11.770	555.95
11.780	556.97
11.790	557.98
11.800	559.00
11.810	560.02
11.820	561.04
11.830	562.06
11.840	563.08
11.850	564.10
11.860	565.13
11.870	566.15
11.880	567.17
11.890	568.20
11.900	569.23
11.910	570.25
11.920	571.28
11.930	572.31
11.940	573.34
11.950	574.38
11.960	575.41
11.970	576.44
11.980	577.48
11.990	578.51
12.000	579.55
12.010	580.58
12.020	581.62
12.030	582.66
12.040	583.70
12.050	584.74
12.060	585.79
12.070	586.83
12.080	587.87
12.090	588.92
12.100	589.96
12.110	591.01
12.120	592.06
12.130	593.11
12.140	594.16
12.150	595.21
12.160	596.26
12.170	597.31
12.180	598.37
12.190	599.42
12.200	600.48
12.210	601.53
12.220	602.59
12.230	603.65
12.240	604.71
12.250	605.77
12.260	606.83
12.270	607.89
12.280	608.96
12.290	610.02
12.300	611.09
12.310	612.15
12.320	613.22
12.330	614.29
12.340	615.36
12.350	616.43
12.360	617.50
12.370	618.57
12.380	619.64
12.390	620.72
12.400	621.79
12.410	622.87
12.420	623.95
12.430	625.02
12.440	626.10
12.450	627.18
12.460	628.26
12.470	629.34
12.480	630.43
12.490	631.51
12.500	632.60
12.510	633.68
12.520	634.77
12.530	635.85
12.540	636.94
12.550	638.03
12.560	639.12
12.570	640.21
12.580	641.31
12.590	642.40
12.600	643.49
12.610	644.59
12.620	645.69
12.630	646.78
12.640	647.88
12.650	648.98
12.660	650.08
12.670	651.18
12.680	652.28
12.690	653.39
12.700	654.49
12.710	655.60
12.720	656.70
12.730	657.81
12.740	658.92
12.750	660.02
12.760	661.13
12.770	662.24
12.780	663.36
12.790	664.47
12.800	665.58
12.810	666.70
12.820	667.81
12.830	668.93
12.840	670.05
12.850	671.17
12.860	672.29
12.870	673.41
12.880	674.53
12.890	675.65
12.900	676.77
12.910	677.90
12.920	679.02
12.930	680.15
12.940	681.28
12.950	682.40
12.960	683.53
12.970	684.66
12.980	685.79
12.990	686.93
13.000	688.06
13.010	689.19
13.020	690.33
13.030	691.46
13.040	692.60
13.050	693.74
13.060	694.88
13.070	696.02
13.080	697.16
13.090	698.30
13.100	699.44
13.110	700.59
13.120	701.73
13.130	702.88
13.140	704.02
13.150	705.17
13.160	706.32
13.170	707.47
13.180	708.62
13.190	709.77
13.200	710.92
13.210	712.08
13.220	713.23
13.230	714.39
13.240	715.54
13.250	716.70
13.260	717.86
13.270	719.02
13.280	720.18
13.290	721.34
13.300	722.50
13.310	723.66
13.320	724.83
13.330	725.99
13.340	727.16
13.350	728.33
13.360	729.49
13.370	730.66
13.380	731.83
13.390	733.00
13.400	734.18
13.410	735.35
13.420	736.52
13.430	737.70
13.440	738.87
13.450	740.05
13.460	741.23
13.470	742.41
13.480	743.59
13.490	744.77
13.500	745.95
13.510	747.13
13.520	748.32
13.530	749.50
13.540	750.69
13.550	751.87
13.560	753.06
13.570	754.25
